Short_Name,School_ID,the_geom,Address,Zip,Lat,Long,Network,Governance,Grade_Cat,Grades,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
LITTLE BLACK PEARL HS,400137,POINT (-87.59933994051981 41.80969549575752),1060 E 47th St,60653,41.809695,-87.59934,Options,Contract,HS,"9, 10, 11, 12",1(773)690-5500,9,KENWOOD,4,"William ""Will"" D. Burns"
YCCS - SULLIVAN,400139,POINT (-87.57849166986543 41.74628656952744),8164 S South Chicago Ave,60617,41.746287,-87.578492,Options,Charter,HS,"10, 11",1(773)978-8680,12,AVALON PARK,8,Michelle A. Harris
YCCS - TRUMAN,400141,POINT (-87.65923928994071 41.96529481641866),1145 W Wilson Ave,60640,41.965295,-87.659239,Options,Charter,HS,"10, 11, 12",1(773)907-4840,2,UPTOWN,46,James Cappleman
YCCS - VIRTUAL,400142,POINT (-87.6741384012902 41.876316727196624),1900 W Van Buren St,60612,41.876317,-87.674138,Options,Charter,HS,"10, 11, 12",1(312)429-0027,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
YCCS - WEST TOWN,400143,POINT (-87.70205280069851 41.890803121149155),500 N Sacramento Blvd,60612,41.890803,-87.702053,Options,Charter,HS,"10, 11",1(312)563-9044,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
YCCS - WESTSIDE HOLISTIC,400144,POINT (-87.74881028931917 41.902240031833365),4909 W Division St,60651,41.90224,-87.74881,Options,Charter,HS,"10, 11, 12",1(773)261-0994,3,AUSTIN,37,Emma M. Mitts
YCCS - YOUTH CONNECTION,400145,POINT (-87.62678146947087 41.832072058158424),3424 S State St,60616,41.832072,-87.626781,Options,Charter,HS,"10, 11, 12",1(312)225-4668,9,DOUGLAS,3,Patricia R. Dowell
KIPP CHICAGO - CREATE,400146,POINT (-87.74661383905315 41.89181614207475),4818 W Ohio St,60644,41.891816,-87.746614,Charter,Charter,ES,"5, 6, 7, 8",1(773)938-8553,3,AUSTIN,37,Emma M. Mitts
CAMELOT - CHICAGO EXCEL HS,400147,POINT (-87.65372653770633 41.691969313501716),1257 W 111th St,60643,41.691953,-87.654248,Options,Contract,HS,"9, 10, 11, 12",1(773)629-8379,13,MORGAN PARK,34,Carrie M. Austin
INSTITUTO - LOZANO HS,400148,POINT (-87.68406493808419 41.84544601533066),2570 S Blue Island Ave,60608,41.845446,-87.684065,Options,Charter,HS,"9, 10, 11, 12",1(773)696-3610,7,LOWER WEST SIDE,25,Daniel S. Solis
UNO - SOCCER HS,400149,POINT (-87.71102498431937 41.80176224554366),5025 S Saint Louis Ave,60632,41.801762,-87.711025,Charter,Charter,HS,"8, 9, 10, 11",1(312)455-5446,8,GAGE PARK,14,Edward M. Burke
YCCS - CHATHAM,400150,POINT (-87.60697990890328 41.73013138447743),9035 S Langley Ave,60619,41.730131,-87.60698,Options,Charter,HS,"10, 11, 12",1(773)651-1500,12,CHATHAM,8,Michelle A. Harris
LEARN - 7,400151,POINT (-87.70139734989546 41.88741028428423),3021 W Carroll Ave,60612Â,41.88741,-87.701397,Charter,Charter,ES,"K, 1, 2, 3, 4, 5",1(773)584-4350,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
UNO - BRIGHTON PARK,400153,POINT (-87.6932383845312 41.81310944476644),4420 S Fairfield Ave,60632,41.813109,-87.693238,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(312)455-5434,8,BRIGHTON PARK,15,Toni L. Foulkes
NOBLE - BUTLER HS,400156,POINT (-87.6025733174385 41.70666685789389),821 E 103rd St,60628,41.706667,-87.602573,Charter,Charter,HS,"9, 10, 11",1(312)835-1863,13,PULLMAN,9,Anthony A. Beale
NOBLE - BAKER HS,400157,POINT (-87.55620144126588 41.734622370920235),2710 E 89th St,60617,41.734622,-87.556201,Charter,Charter,HS,"9, 10, 11",1(773)535-6340,12,SOUTH CHICAGO,7,Natashia Holmes
CHRISTOPHER HOUSE,400159,POINT (-87.75752152826216 41.922181155970016),5235 W Belden Ave,60639,41.922181,-87.757522,Charter,Charter,ES,"K, 1, 2, 3",1(773)472-1083,3,BELMONT CRAGIN,36,Nicholas Sposato
CHICAGO COLLEGIATE,400161,POINT (-87.61796787117214 41.67931844206332),11816 S Indiana Ave,60628,41.679318,-87.617968,Charter,Charter,HS,"4, 5, 6, 7",1(773)536-9098,13,WEST PULLMAN,9,Anthony A. Beale
INTRINSIC HS,400162,POINT (-87.74112862650028 41.93898842805861),4540 W Belmont Ave,60641,41.938988,-87.741129,Charter,Charter,HS,"7, 8, 9, 10, 11",1(708)887-2735,1,IRVING PARK,30,Ariel E. Reboyras
KIPP CHICAGO - BLOOM,400163,POINT (-87.63996733124056 41.7935562671543),5515 S Lowe Ave,60621,41.793556,-87.639967,Charter,Charter,ES,"5, 6, 7",1(773)938-8565,11,ENGLEWOOD,20,Willie B. Cochran
INSTITUTO - LOZANO MASTERY HS,400164,POINT (-87.68590261102727 41.845956673444746),2520 S Western Ave,60608,41.845957,-87.685903,Options,Charter,HS,"9, 10, 11, 12",1(773)696-3610 x4645,7,LOWER WEST SIDE,25,Daniel S. Solis
LEARN - MIDDLE,400165,POINT (-87.70270389867642 41.88741270254248),3021 W Carroll Ave,60612Â,41.887413,-87.702704,Charter,Charter,ES,"6, 7, 8",1(773)584-4300,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
HORIZON - SOUTHWEST,400167,POINT (-87.68396339287392 41.79520095266694),5401 S. Western,60609,41.795201,-87.683963,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)498-3355,8,GAGE PARK,15,Toni L. Foulkes
NOBLE - ITW SPEER HS,400169,POINT (-87.76980777377591 41.92563027099737),2456 N. Mango Ave.,60639,41.92563,-87.769808,Charter,Charter,HS,"9, 10",1(773)278-6895,3,BELMONT CRAGIN,30,Ariel E. Reboyras
NOBLE - ACADEMY HS,400170,POINT (-87.64557693645881 41.90687879476261),1443 N Ogden Ave,60610,41.906879,-87.645577,Charter,Charter,HS,"9, 10",1(773)862-1449,4,NEAR NORTH SIDE,27,"Walter Burnett, Jr."
FOUNDATIONS,400171,POINT (-87.65353524849981 41.69467073849163),1233 W. 109th Street,60643,41.694671,-87.653535,Charter,Charter,HS,"6, 7, 8",1(773)298-5800,13,MORGAN PARK,34,Carrie M. Austin
PATHWAYS - BRIGHTON PARK HS,400173,POINT (-87.70264475188843 41.80822578508329),3124 W. 47th Street,60632,41.808226,-87.702645,Options,ALOP,HS,"9, 10, 11, 12",1(773)588-5007,8,BRIGHTON PARK,14,Edward M. Burke
CAMELOT - EXCEL WOODLAWN HS,400175,POINT (-87.55648708381439 41.75974863887013),7530 S South Shore Dr,60649,41.759749,-87.556487,Options,Contract,HS,"9, 10, 11, 12",1(773)902-7800,9,WOODLAWN,7,Natashia Holmes
CAMELOT - EXCEL SOUTHWEST HS,400176,POINT (-87.69073009144797 41.765928920283464),7014 S Washtenaw Ave,60629,41.765929,-87.69073,Options,Contract,HS,"9, 10, 11, 12",1(773)424-0721,11,AUBURN GRESHAM,17,Latasha R. Thomas
KIPP CHICAGO - ASCEND PRIMARY,400177,POINT (-87.70928683026301 41.861174188233996),1440 S. Christiana,60623,41.861174,-87.709287,Charter,Charter,ES,"K, 1, 2, 3, 4, 5",1(773)522-1261,5,NORTH LAWNDALE,24,Michael D. Chandler
CHICAGO VOCATIONAL HS,609674,POINT (-87.57326751564459 41.737173933540554),2100 E 87th St,60617,41.737174,-87.573268,OS4,District,HS,"9, 10, 11, 12",1(773)535-6100,12,AVALON PARK,8,Michelle A. Harris
DUNBAR HS,609676,POINT (-87.61763743510639 41.8402255713266),3000 S King Dr,60616,41.840226,-87.617637,Network 9,District,HS,"9, 10, 11, 12",1(773)534-9000,9,DOUGLAS,4,"William ""Will"" D. Burns"
JONES HS,609678,POINT (-87.6276753224599 41.87306592278668),700 S State St,60605,41.873066,-87.627675,ISP,District,HS,"9, 10, 11, 12",1(773)534-8600,6,LOOP,4,"William ""Will"" D. Burns"
PROSSER HS,609679,POINT (-87.76104831550296 41.920059399235065),2148 N Long Ave,60639,41.920059,-87.761048,Network 3,District,HS,"9, 10, 11, 12",1(773)534-3200,3,BELMONT CRAGIN,36,Nicholas Sposato
PAYTON HS,609680,POINT (-87.63538476565044 41.90157516923655),1034 N Wells St,60610,41.901575,-87.635385,ISP,District,HS,"9, 10, 11, 12",1(773)534-0034,6,NEAR NORTH SIDE,27,"Walter Burnett, Jr."
RICHARDS HS,609682,POINT (-87.66227784528805 41.80288137488922),5009 S Laflin St,60609,41.802881,-87.662278,Network 8,District,HS,"9, 10, 11, 12",1(773)535-4945,8,NEW CITY,20,Willie B. Cochran
NORTH-GRAND HS,609691,POINT (-87.73523755590614 41.911673691951975),4338 W Wabansia Ave,60639,41.911674,-87.735238,Network 5,District,HS,"9, 10, 11, 12",1(773)534-8520,5,HUMBOLDT PARK,36,Nicholas Sposato
SIMEON HS,609692,POINT (-87.63541036866685 41.745781229905525),8147 S Vincennes Ave,60620,41.745781,-87.63541,Network 11,District,HS,"9, 10, 11, 12",1(773)535-3200,11,CHATHAM,21,"Howard B. Brookins, Jr."
WESTINGHOUSE HS,609693,POINT (-87.70733230851017 41.88997720284965),3223 W Franklin Blvd,60624,41.889977,-87.707332,Network 5,District,HS,"9, 10, 11, 12",1(773)534-6400,5,HUMBOLDT PARK,28,Jason C. Ervin
HANCOCK HS,609694,POINT (-87.7244704648031 41.79146390857298),4034 W 56th St,60629,41.791464,-87.72447,Network 8,District,HS,"9, 10, 11, 12",1(773)535-2410,8,WEST ELSDON,13,Marty Quinn
AMUNDSEN HS,609695,POINT (-87.67948421515057 41.975067256161616),5110 N Damen Ave,60625,41.975067,-87.679484,Network 2,District,HS,"9, 10, 11, 12",1(773)534-2320,2,LINCOLN SQUARE,40,Patrick O'Connor
BOGAN HS,609698,POINT (-87.72109744581068 41.74937560925903),3939 W 79th St,60652,41.749376,-87.721097,OS4,District,HS,"9, 10, 11, 12",1(773)535-2180,10,ASHBURN,18,Lona Lane
FARRAGUT HS,609704,POINT (-87.70870563207117 41.84855987425176),2345 S Christiana Ave,60623,41.84856,-87.708706,Network 7,District,HS,"PK, 9, 10, 11, 12",1(773)534-1300,7,SOUTH LAWNDALE,22,Ricardo Munoz
FENGER HS,609705,POINT (-87.63757205073344 41.68995072460742),11220 S Wallace St,60628,41.689951,-87.637572,Network 13,District,HS,"9, 10, 11, 12",1(773)535-5430,13,ROSELAND,34,Carrie M. Austin
ROBESON HS,609707,POINT (-87.63715271751444 41.76971379519646),6835 S Normal Blvd,60621,41.769714,-87.637153,Network 11,District,HS,"9, 10, 11, 12",1(773)535-3800,11,ENGLEWOOD,6,Roderick T. Sawyer
FOREMAN HS,609708,POINT (-87.75416654341426 41.93979676706975),3235 N LeClaire Ave,60641,41.939797,-87.754167,Network 1,District,HS,"9, 10, 11, 12",1(773)534-3400,1,PORTAGE PARK,31,Ray Suarez
GAGE PARK HS,609709,POINT (-87.68895394224992 41.791012838392405),5630 S Rockwell St,60629,41.791013,-87.688954,Network 8,District,HS,"9, 10, 11, 12",1(773)535-9230,8,GAGE PARK,15,Toni L. Foulkes
HARLAN HS,609710,POINT (-87.62062343653518 41.7183723456041),9652 S Michigan Ave,60628,41.718372,-87.620623,Network 12,District,HS,"7, 8, 9, 10, 11, 12",1(773)535-5400,12,ROSELAND,9,Anthony A. Beale
HARPER HS,609711,POINT (-87.66908929605185 41.77512408325922),6520 S Wood St,60636,41.775124,-87.669089,Network 11,District,HS,"9, 10, 11, 12",1(773)535-9150,11,WEST ENGLEWOOD,15,Toni L. Foulkes
HIRSCH HS,609712,POINT (-87.60172726591252 41.753747955321906),7740 S Ingleside Ave,60619,41.753748,-87.601727,OS4,District,HS,"9, 10, 11, 12",1(773)535-3100,12,GREATER GRAND CROSSING,8,Michelle A. Harris
HYDE PARK HS,609713,POINT (-87.58661501015993 41.782256926776796),6220 S Stony Island Ave,60637,41.782257,-87.586615,Network 9,District,HS,"9, 10, 11, 12",1(773)535-0880,9,WOODLAWN,5,Leslie A. Hairston
KELLY HS,609715,POINT (-87.69463865995434 41.81872906331999),4136 S California Ave,60632,41.818729,-87.694639,OS4,District,HS,"9, 10, 11, 12",1(773)535-4900,8,BRIGHTON PARK,12,George A. Cardenas
KELVYN PARK HS,609716,POINT (-87.73599882204394 41.92791840255751),4343 W Wrightwood Ave,60639,41.927918,-87.735999,Network 4,District,HS,"7, 8, 9, 10, 11, 12",1(773)534-4200,4,HERMOSA,31,Ray Suarez
KENNEDY HS,609718,POINT (-87.78083975557989 41.789961251743584),6325 W 56th St,60638,41.789961,-87.78084,Network 10,District,HS,"9, 10, 11, 12",1(773)535-2325,10,GARFIELD RIDGE,13,Marty Quinn
LAKE VIEW HS,609719,POINT (-87.66895268957454 41.954764066986755),4015 N Ashland Ave,60613,41.954764,-87.668953,Network 2,District,HS,"9, 10, 11, 12",1(773)534-5440,2,LAKE VIEW,47,Ameya Pawar
LANE TECH HS,609720,POINT (-87.69101262731388 41.94664457379102),2501 W Addison St,60618,41.946645,-87.691013,Network 4,District,HS,"7, 8, 9, 10, 11, 12",1(773)534-5400,4,NORTH CENTER,47,Ameya Pawar
MANLEY HS,609722,POINT (-87.69989559006844 41.870938956115715),2935 W Polk St,60612,41.870939,-87.699896,Network 5,District,HS,"9, 10, 11, 12",1(773)534-6900,5,EAST GARFIELD PARK,28,Jason C. Ervin
MARSHALL HS,609723,POINT (-87.70805007000293 41.878444085065304),3250 W Adams St,60624,41.878444,-87.70805,ISP,District,HS,"9, 10, 11, 12",1(773)534-6455,5,EAST GARFIELD PARK,28,Jason C. Ervin
MATHER HS,609724,POINT (-87.7024963959148 41.987588681534916),5835 N Lincoln Ave,60659,41.987589,-87.702496,Network 2,District,HS,"9, 10, 11, 12",1(773)534-2350,2,WEST RIDGE,40,Patrick O'Connor
MORGAN PARK HS,609725,POINT (-87.66565754496752 41.692035008508086),1744 W Pryor Ave,60643,41.692035,-87.665658,Network 10,District,HS,"7, 8, 9, 10, 11, 12",1(773)535-2550,10,MORGAN PARK,19,Matthew J. O'Shea
BROOKS HS,609726,POINT (-87.61635260696305 41.69276252803521),250 E 111th St,60628,41.692763,-87.616353,ISP,District,HS,"9, 10, 11, 12",1(773)535-9930,13,ROSELAND,9,Anthony A. Beale
PHILLIPS HS,609727,POINT (-87.61979634587938 41.82387996779332),244 E Pershing Rd,60653,41.82388,-87.619796,AUSL,District,HS,"9, 10, 11, 12",1(773)535-1603,9,DOUGLAS,3,Patricia R. Dowell
ROOSEVELT HS,609728,POINT (-87.71481861588198 41.96482788390732),3436 W Wilson Ave,60625,41.964828,-87.714819,Network 1,District,HS,"9, 10, 11, 12",1(773)534-5000,1,ALBANY PARK,33,Deborah Mell
SCHURZ HS,609729,POINT (-87.73561211025743 41.94636454254735),3601 N Milwaukee Ave,60641,41.946365,-87.735612,Network 1,District,HS,"9, 10, 11, 12",1(773)534-3420,1,IRVING PARK,45,John Arena
SENN HS,609730,POINT (-87.6671361896679 41.98902853819406),5900 N Glenwood Ave,60660,41.989029,-87.667136,Network 2,District,HS,"9, 10, 11, 12",1(773)534-2365,2,EDGEWATER,48,Harry Osterman
STEINMETZ HS,609732,POINT (-87.78351523303839 41.93563358717894),3030 N Mobile Ave,60634,41.935634,-87.783515,Network 3,District,HS,"9, 10, 11, 12",1(773)534-3030,3,BELMONT CRAGIN,36,Nicholas Sposato
SULLIVAN HS,609733,POINT (-87.6691921456409 42.00268755820679),6631 N Bosworth Ave,60626,42.002688,-87.669192,Network 2,District,HS,"9, 10, 11, 12",1(773)534-2000,2,ROGERS PARK,49,Joe A. Moore
TAFT HS,609734,POINT (-87.79154724889433 41.982960985797455),6530 W Bryn Mawr Ave,60631,41.982961,-87.791547,Network 1,District,HS,"7, 8, 9, 10, 11, 12",1(773)534-1000,1,NORWOOD PARK,41,Mary O'Connor
TILDEN HS,609735,POINT (-87.64296648369356 41.807510070907846),4747 S Union Ave,60609,41.80751,-87.642966,Network 8,District,HS,"9, 10, 11, 12",1(773)535-1625,8,NEW CITY,11,James A. Balcer
VON STEUBEN HS,609737,POINT (-87.71338625325822 41.97318504776281),5039 N Kimball Ave,60625,41.973185,-87.713386,Network 1,District,HS,"9, 10, 11, 12",1(773)534-5100,1,NORTH PARK,39,Margaret Laurino
LINCOLN PARK HS,609738,POINT (-87.64600935977995 41.918268310846855),2001 N Orchard St,60614,41.918268,-87.646009,ISP,District,HS,"9, 10, 11, 12",1(773)534-8130,4,LINCOLN PARK,43,Michele Smith
WASHINGTON HS,609739,POINT (-87.53757030015832 41.688136935652565),3535 E 114th St,60617,41.688137,-87.53757,Network 13,District,HS,"9, 10, 11, 12",1(773)535-5725,13,EAST SIDE,10,John A. Pope
WELLS HS,609740,POINT (-87.66748286871373 41.898994707393015),936 N Ashland Ave,60622,41.898995,-87.667483,Network 6,District,HS,"9, 10, 11, 12",1(773)534-7010,6,WEST TOWN,1,Proco (Joe) Moreno III
HUBBARD HS,609741,POINT (-87.71801374341135 41.78052638668544),6200 S Hamlin Ave,60629,41.780526,-87.718014,Network 10,District,HS,"9, 10, 11, 12",1(773)535-2200,10,WEST LAWN,23,Michael R. Zalewski
NORTHSIDE LEARNING HS,609744,POINT (-87.72238621571651 41.982972521350106),3730 W Bryn Mawr Ave,60659,41.982973,-87.722386,Network 1,District,HS,"9, 10, 11, 12",1(773)534-5180,1,NORTH PARK,39,Margaret Laurino
SOUTHSIDE HS,609745,POINT (-87.67594676755051 41.759852428041924),7342 S Hoyne Ave,60636,41.759852,-87.675947,Network 11,District,HS,"11, 12",1(773)535-9100,11,WEST ENGLEWOOD,17,Latasha R. Thomas
KENWOOD HS,609746,POINT (-87.59042088968275 41.80377211875098),5015 S Blackstone Ave,60615,41.803772,-87.590421,Network 9,District,HS,"7, 8, 9, 10, 11, 12",1(773)535-1350,9,KENWOOD,4,"William ""Will"" D. Burns"
YORK HS,609748,POINT (-87.6952610154737 41.842533347975746),2700 S California Ave,60608,41.842533,-87.695261,Options,District,HS,"9, 10, 11, 12",1(773)535-7021,7,SOUTH LAWNDALE,24,Michael D. Chandler
NORTHSIDE PREP HS,609749,POINT (-87.70870780029277 41.981315282164225),5501 N Kedzie Ave,60625,41.981315,-87.708708,Network 1,District,HS,"9, 10, 11, 12",1(773)534-3954,1,NORTH PARK,40,Patrick O'Connor
SIMPSON HS,609750,POINT (-87.66872222929887 41.8643654823773),1321 S Paulina St,60608,41.864365,-87.668722,Options,District,HS,"8, 9, 10, 11, 12",1(773)534-7812,6,NEAR WEST SIDE,28,Jason C. Ervin
KING HS,609751,POINT (-87.60387386150998 41.81367545210487),4445 S Drexel Blvd,60653,41.813675,-87.603874,Network 9,District,HS,"9, 10, 11, 12",1(773)535-1180,9,KENWOOD,4,"William ""Will"" D. Burns"
CHICAGO AGRICULTURE HS,609753,POINT (-87.71776967259495 41.69122074145255),3857 W 111th St,60655,41.691221,-87.71777,Network 10,District,HS,"9, 10, 11, 12",1(773)535-2500,10,MOUNT GREENWOOD,19,Matthew J. O'Shea
CHICAGO MILITARY HS,609754,POINT (-87.6192155427687 41.83055497712014),3519 S Giles Ave,60653,41.830555,-87.619216,SLA,District,HS,"9, 10, 11, 12",1(773)534-9750,9,DOUGLAS,3,Patricia R. Dowell
YOUNG HS,609755,POINT (-87.66423334280815 41.87860253271967),211 S Laflin St,60607,41.878603,-87.664233,ISP,District,HS,"7, 8, 9, 10, 11, 12",1(773)534-7500,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
CURIE HS,609756,POINT (-87.72204165487233 41.80306020651821),4959 S Archer Ave,60632,41.80306,-87.722042,Network 8,District,HS,"9, 10, 11, 12",1(773)535-2100,8,ARCHER HEIGHTS,14,Edward M. Burke
CLEMENTE HS,609759,POINT (-87.68690614642159 41.902625791356584),1147 N Western Ave,60622,41.902626,-87.686906,OS4,District,HS,"9, 10, 11, 12",1(773)534-4000,5,WEST TOWN,1,Proco (Joe) Moreno III
CARVER MILITARY HS,609760,POINT (-87.59062038495499 41.656289951013775),13100 S Doty Ave,60627,41.65629,-87.59062,SLA,District,HS,"9, 10, 11, 12",1(773)535-5250,13,RIVERDALE,9,Anthony A. Beale
CORLISS HS,609761,POINT (-87.60121587657939 41.70665961635234),821 E 103rd St,60628,41.70666,-87.601216,Network 13,District,HS,"9, 10, 11, 12",1(773)535-5115,13,PULLMAN,9,Anthony A. Beale
JULIAN HS,609762,POINT (-87.6537492110773 41.70585893586945),10330 S Elizabeth St,60643,41.705859,-87.653749,Network 13,District,HS,"9, 10, 11, 12",1(773)535-5170,10,WASHINGTON HEIGHTS,34,Carrie M. Austin
JUAREZ HS,609764,POINT (-87.66373244658195 41.852666599349455),2150 S Laflin St,60608,41.852667,-87.663732,ISP,District,HS,"9, 10, 11, 12",1(773)534-7030,7,LOWER WEST SIDE,25,Daniel S. Solis
VAUGHN HS,609766,POINT (-87.76466317315523 41.960363796062815),4355 N Linder Ave,60641,41.960364,-87.764663,Network 1,District,HS,"9, 10, 11, 12",1(773)534-3600,1,PORTAGE PARK,38,Timothy M. Cullerton
HOPE HS,609768,POINT (-87.64124410974966 41.79355346673504),5515 S Lowe Ave,60621,41.793553,-87.641244,Network 11,District,HS,"9, 10, 11, 12",1(773)535-3160,11,ENGLEWOOD,20,Willie B. Cochran
GRAHAM HS,609769,POINT (-87.625314815783 41.84967541722844),2347 S Wabash Ave,60616,41.849675,-87.625315,Network 6,District,HS,"9, 10, 11, 12",1(773)534-9257,6,NEAR SOUTH SIDE,3,Patricia R. Dowell
ADDAMS,609772,POINT (-87.53297604186888 41.698738799501506),10810 S Avenue H,60617,41.698739,-87.532976,Network 13,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-6210,13,EAST SIDE,10,John A. Pope
AGASSIZ,609773,POINT (-87.65622866787353 41.93412629732926),2851 N Seminary Ave,60657,41.934126,-87.656229,Network 4,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-5725,4,LAKE VIEW,44,Thomas Tunney
ARMOUR,609777,POINT (-87.6506531559409 41.83385390912795),950 W 33rd Pl,60608,41.833854,-87.650653,Network 6,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-4530,6,BRIDGEPORT,11,James A. Balcer
ARMSTRONG G,609779,POINT (-87.68444182723555 42.01014998355085),2110 W Greenleaf Ave,60645,42.01015,-87.684442,Network 2,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-2150,2,WEST RIDGE,50,Debra L. Silverstein
MARINE LEADERSHIP AT AMES HS,609780,POINT (-87.72174231737525 41.91604463278367),1920 N Hamlin Ave,60647,41.916045,-87.721742,SLA,District,HS,"7, 8, 9, 10, 11, 12",1(773)534-4970,4,LOGAN SQUARE,26,Roberto Maldonado
AUDUBON,609782,POINT (-87.68104105326863 41.94506222420041),3500 N Hoyne Ave,60618,41.945062,-87.681041,Network 4,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-5470,4,NORTH CENTER,47,Ameya Pawar
JEFFERSON HS,609783,POINT (-87.6804175551467 41.86783228494752),1100 S Hamilton Ave,60612,41.867832,-87.680418,Options,District,HS,"6, 7, 8, 9, 10, 11, 12",1(312)433-7110,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
AVALON PARK,609786,POINT (-87.59165381067288 41.74824699361749),8045 S Kenwood Ave,60619,41.748247,-87.591654,Network 12,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-6615,12,AVALON PARK,8,Michelle A. Harris
BARNARD,609788,POINT (-87.65807422422662 41.705131010946644),10354 S Charles St,60643,41.705131,-87.658074,Network 10,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-2625,10,BEVERLY,19,Matthew J. O'Shea
BARRY,609789,POINT (-87.73938835132714 41.93251058271708),2828 N Kilbourn Ave,60641,41.932511,-87.739388,Network 4,District,ES,"PK, K, 1, 2, 3, 4, 5, 6",1(773)534-3455,4,HERMOSA,31,Ray Suarez
BARTON,609790,POINT (-87.6709271289381 41.75419384970478),7650 S Wolcott Ave,60620,41.754194,-87.670927,Network 11,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-3260,11,AUBURN GRESHAM,17,Latasha R. Thomas
BASS,609791,POINT (-87.65353241974717 41.77424645010303),1140 W 66th St,60621,41.774246,-87.653532,Network 11,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-3275,11,ENGLEWOOD,16,JoAnn Thompson
BATEMAN,609792,POINT (-87.7021509622272 41.95821983852925),4220 N Richmond St,60618,41.95822,-87.702151,Network 1,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-5055,1,IRVING PARK,33,Deborah Mell
NICHOLSON,609793,POINT (-87.64745284219362 41.78494237944745),6006 S Peoria St,60621,41.784942,-87.647453,Network 11,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-3285,11,ENGLEWOOD,16,JoAnn Thompson
EDISON,609794,POINT (-87.70930366602214 41.971506096123875),4929 N Sawyer Ave,60625,41.971506,-87.709304,Network 1,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-0540,1,ALBANY PARK,33,Deborah Mell
CLARK ES,609795,POINT (-87.77041752682254 41.86781256765913),1045 S Monitor Ave,60644,41.867813,-87.770418,Network 3,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-6225,3,AUSTIN,29,Deborah L. Graham
BEAUBIEN,609796,POINT (-87.75756503952755 41.972393944348255),5025 N Laramie Ave,60630,41.972394,-87.757565,Network 1,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-3500,1,JEFFERSON PARK,45,John Arena
BEIDLER,609797,POINT (-87.70585481254497 41.885321039653036),3151 W Walnut St,60612,41.885321,-87.705855,Network 5,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-6811,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
BELDING,609798,POINT (-87.73401972914144 41.95893849334404),4257 N Tripp Ave,60641,41.958938,-87.73402,Network 1,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-3590,1,IRVING PARK,39,Margaret Laurino
BELL,609799,POINT (-87.68601824453435 41.9495297982177),3730 N Oakley Ave,60618,41.94953,-87.686018,Network 4,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-5150,4,NORTH CENTER,47,Ameya Pawar
BENNETT,609800,POINT (-87.6173904557042 41.71043494882523),10115 S Prairie Ave,60628,41.710435,-87.61739,Network 13,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-5460,13,ROSELAND,9,Anthony A. Beale
BLAINE,609803,POINT (-87.66496784431662 41.95078051791929),1420 W Grace St,60613,41.950781,-87.664968,Network 4,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-5750,4,LAKE VIEW,44,Thomas Tunney
BOONE,609804,POINT (-87.69746282201558 42.003411606876426),6710 N Washtenaw Ave,60645,42.003412,-87.697463,Network 2,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-2160,2,WEST RIDGE,50,Debra L. Silverstein
JOPLIN,609805,POINT (-87.66936564978361 41.74933916101331),7931 S Honore St,60620,41.749339,-87.669366,Network 11,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-3425,11,AUBURN GRESHAM,17,Latasha R. Thomas
